# List of animal species latin names, obtained from the Open Tree of Life project (OTL tip names, version 13.4, accessed October 27, 2021)
Leucothea filmersankeyi
Leucothea grandiformis
Leucothea japonica
Alcinoe vermicularis
Alcinoe rosea
Ocyropsis maculata
Ocyropsis fusca
Ocyropsis pteroessa
Ocyropsis vance
Ocyropsis crystallina
Ocyropsis crystallina
Bolinopsis vitrea
Bolinopsis microptera
Bolinopsis elegans
Bolinopsis rubripunctata
Bolinopsis ovalis
Bolinopsis mikado
Bolinopsis chuni
Bolinopsis indosinensis
Lesueuria hyboptera
Lesueuria pinnata
Lesueuria tiedemanni
Lesueuria vitrea
Bolinopsis infundibulum
Deiopea kaloktenota
Kiyohimea aurita
Kiyohimea usagi
Eurhamphaea kuhlii
Eurhamphaea heteroptera
Eurhamphaea schweiggeri
Eurhamphaea chamissonis
Eurhamphaea vexilligera
Cestum veneris
Velamen parallelum
Bolinopsis ashleyi
Mnemiopsis leidyi
Mnemiopsis gardeni
Dryodora glandiformis
Idyia cyathina
Neis cordigera
Beroe cucumis
Beroe mitrata
Beroe forskalii
Beroe abyssicola
Beroe ramosa
Beroe mitraeformis
Beroe culcullus
Beroe ovale
Beroe australis
Beroe hyalina
Beroe baffini
Beroe roseus
Beroe penicillata
Beroe campana
Beroe macrostoma
Beroe flemingii
Beroe gilva
Beroe rufescens
Beroe constricta
Beroe pandorina
Beroe basteri
Beroe compacta
Beroe cyathina
Beroe ovata
Beroe gracilis
Callianira compressa
Callianira cristata
Callianira hexagona
Callianira ficalbi
Callianira antarctica
Callianira diploptera
Callianira bialata
Mertensia ovum
Charistephane fugiens
Placodictyum cucumaria
Calcarea environmental
Calcarea gen
Arturia adusta
Arturia alcatraziensis
Arturia trindadensis
Arturia vansoesti
Leucomalthe bomba
Nicola tetela
Burtonulla sibogae
Sycettaga primitiva
Levinella prolifera
Levinella thalassae
Dendya clathrata
Dendya quadripodifera
Dendya tripodifera
Dendya triradiata
Soleneiscus radovani
Soleneiscus stolonifer
Soleneiscus japonicus
Soleneiscus apicalis
Soleneiscus olynthus
Soleneiscus hispidus
Soleneiscus irregularis
Soleneiscus pedicellatus
Soleneiscus hamatus
Leuclathrina asconoides
Leuclathrina translucida
Bidderia bicolora
Leucascus leptoraphis
Leucascus neocaledonicus
Leucascus simplex
Leucascus clavatus
Leucascus lobatus
Leucascus roseus
Leucascus protogenes
Leucascus flavus
Leucascus albus
Leucascus schleyeri
Ascoleucetta soyo
Ascoleucetta compressa
Ascoleucetta ventricosa
Ascoleucetta amitsba
Ascoleucetta sagittata
Arthuria dubia
Arthuria hirsuta
Arthuria canariensis
Arthuria alcatraziensis
Arthuria sueziana
Arthuria tenuipilosa
Arthuria africana
Arthuria darwinii
Arthuria spirallata
Arthuria tubuloreticulosa
Paramurrayona corticata
Murrayona phanolepis
Lelapiella incrustans
Lelapiella sphaerulifera
Leucaltis solida
Leucaltis pura
Leucaltis pandora
Leucaltis arabica
Leucaltis cucumis
Leucaltis impura
Leucaltis tenuis
Leucaltis perimina
Leucaltis nodusgordii
Leucaltis clathria
Borojevia aspina
Borojevia paracerebrum
Borojevia tetrapodifera
Borojevia croatica
Borojevia crystallina
Borojevia pirella
Borojevia tenuispinata
Borojevia trispinata
Borojevia tubulata
Borojevia angusta
Borojevia voigti
Borojevia cerebrum
Borojevia brasiliensis
Ascaltis reticulum
Ascaltis cavata
Ascaltis depressa
Ascaltis pelliculata
Ascaltis panis
Ascaltis gardineri
Ascaltis vitraea
Ascaltis poterium
Ascaltis grisea
Ascaltis agassizii
Ascaltis abyssus
Ascaltis lamarcki
Ascaltis wilsoni
Ascaltis angusta
Brattegardia nanseni
Leucetta homoraphis
Leucetta sagittata
Leucetta prolifera
Leucetta weddelliana
Leucetta imberbis
Leucetta gelatinosa
Leucetta avocado
Leucetta solida
Leucetta trigona
Leucetta insignis
Leucetta delicata
Leucetta foliata
Leucetta purpurea
Leucetta sulcata
Leucetta avocada
Leucetta giribeti
Pericharax heteroraphis
Pericharax carteri
Pericharax pyriformis
Pericharax canaliculata
